benchmark,cpu_lim,mem_lim,data_size,run_no,cpu_util
image-process,64,2048,384K,1,503.7990903648732
image-process,64,2048,384K,2,9.616428662576688
image-process,64,2048,384K,3,9.869201133703019
image-process,64,2048,384K,4,9.979764946643458
image-process,64,2048,384K,5,10.171200803011292
image-process,64,2048,384K,6,9.926670506733089
image-process,64,2048,384K,7,10.174685508982035
image-process,64,2048,384K,8,9.951238640165759
image-process,64,2048,384K,9,9.922507580857829
image-process,64,2048,384K,10,10.355371603525592
image-process,16,2048,928K,1,698.8585243676209
image-process,16,2048,928K,2,32.47562618746669
image-process,16,2048,928K,3,56.782648004353575
image-process,16,2048,928K,4,55.85635985347985
image-process,16,2048,928K,5,62.62878348175585
image-process,16,2048,928K,6,55.900137309180984
image-process,16,2048,928K,7,59.34829372644857
image-process,16,2048,928K,8,56.50524102881934
image-process,16,2048,928K,9,32.73149664452606
image-process,16,2048,928K,10,39.13325244772447
image-process,80,2048,440K,1,1174.3815305409848
image-process,80,2048,440K,2,28.560716369916783
image-process,80,2048,440K,3,29.732683877838685
image-process,80,2048,440K,4,29.078233760340343
image-process,80,2048,440K,5,19.203220772954527
image-process,80,2048,440K,6,29.329566394310547
image-process,80,2048,440K,7,29.60492155589004
image-process,80,2048,440K,8,25.807653075582316
image-process,80,2048,440K,9,29.183293866666666
image-process,80,2048,440K,10,29.762990325551854
image-process,48,2048,4.6M,1,100.56100326732673
image-process,48,2048,4.6M,2,100.45422446168166
image-process,48,2048,4.6M,3,101.11019735241501
image-process,48,2048,4.6M,4,101.69383970705104
image-process,48,2048,4.6M,5,101.31579513360577
image-process,48,2048,4.6M,6,101.8512866755465
image-process,48,2048,4.6M,7,101.29918052778639
image-process,48,2048,4.6M,8,102.16617284549056
image-process,48,2048,4.6M,9,101.68936281150161
image-process,48,2048,4.6M,10,101.7608283677528
image-process,32,2048,756K,1,470.614332087828
image-process,32,2048,756K,2,56.25444405940594
image-process,32,2048,756K,3,54.85835434848947
image-process,32,2048,756K,4,55.72808340938974
image-process,32,2048,756K,5,61.30438140735557
image-process,32,2048,756K,6,61.02627508107689
image-process,32,2048,756K,7,58.95631256779061
image-process,32,2048,756K,8,49.286878976650996
image-process,32,2048,756K,9,39.66106207566382
image-process,32,2048,756K,10,29.991289691478563
image-process,80,2048,80K,1,1138.167966657237
image-process,80,2048,80K,2,6.5933052988235294
image-process,80,2048,80K,3,6.349296462253011
