benchmark,cpu_lim,mem_lim,data_size,run_no,exec_time,mem_usage,mem_util,cpu_util
image-process,80,2048,1.2M,6,0.4136459827423095,94.26171875,4.602622985839844,43.27893062519835
image-process,80,2048,1.2M,7,0.4647693634033203,94.26171875,4.602622985839844,45.827434722420215
image-process,80,2048,1.2M,8,0.4093925952911377,94.26171875,4.602622985839844,26.737216355837965
image-process,80,2048,1.2M,9,0.4103152751922607,94.26171875,4.602622985839844,35.001079656597774
image-process,80,2048,1.2M,10,0.4131956100463867,94.26171875,4.602622985839844,43.20678361415199
image-process,96,2048,4.6M,1,1.9642314910888672,277.08203125,13.529396057128906,1105.112432043767
image-process,96,2048,4.6M,2,1.9995896816253664,277.08203125,13.529396057128906,100.26608515726215
image-process,96,2048,4.6M,3,2.057459115982056,277.08203125,13.529396057128906,101.11837653618964
image-process,96,2048,4.6M,4,2.0954244136810303,277.08203125,13.529396057128906,101.36850443599492
image-process,96,2048,4.6M,5,2.054967403411865,277.08203125,13.529396057128906,101.35236278833968
image-process,96,2048,4.6M,6,2.066753625869751,277.08203125,13.529396057128906,101.99531422038744
image-process,96,2048,4.6M,7,2.0533640384674072,277.08203125,13.529396057128906,101.4259336979786
image-process,96,2048,4.6M,8,2.055148839950561,277.08203125,13.529396057128906,101.77995615622277
image-process,96,2048,4.6M,9,2.06801176071167,277.08203125,13.529396057128906,101.32682079099628
image-process,96,2048,4.6M,10,2.0392165184021,277.08203125,13.529396057128906,101.66258852575768
image-process,64,2048,80K,1,0.0510921478271484,54.12109375,2.6426315307617188,926.0124376529338
image-process,64,2048,80K,2,0.0515081882476806,54.12109375,2.6426315307617188,6.062476412001237
image-process,64,2048,80K,3,0.0488569736480712,54.12109375,2.6426315307617188,6.160815541718556
image-process,64,2048,80K,4,0.0472991466522216,54.12109375,2.6426315307617188,5.956337854821235
image-process,64,2048,80K,5,0.0497796535491943,54.12109375,2.6426315307617188,5.664029491817399
image-process,64,2048,80K,6,0.0508966445922851,54.12109375,2.6426315307617188,6.226720049550945
image-process,64,2048,80K,7,0.0524349212646484,54.12109375,2.6426315307617188,6.095098999143903
image-process,64,2048,80K,8,0.0511000156402587,54.12109375,2.6426315307617188,6.165710474435744
image-process,64,2048,80K,9,0.0516681671142578,54.12109375,2.6426315307617188,5.804486690413505
image-process,64,2048,80K,10,0.0487627983093261,54.12109375,2.6426315307617188,5.636206777243838
image-process,16,2048,384K,1,0.08962082862854,57.7890625,2.8217315673828125,7.939190845253575
image-process,16,2048,384K,2,0.0895287990570068,57.7890625,2.8217315673828125,10.485417109126214
image-process,16,2048,384K,3,0.0940203666687011,57.7890625,2.8217315673828125,6.474446173832354
image-process,16,2048,384K,4,0.0880076885223388,57.7890625,2.8217315673828125,10.121319471916255
image-process,16,2048,384K,5,0.0935039520263671,57.7890625,2.8217315673828125,8.210388490495713
image-process,16,2048,384K,6,0.0931892395019531,57.7890625,2.8217315673828125,10.698151469449057
image-process,16,2048,384K,7,0.0957961082458496,57.7890625,2.8217315673828125,10.010071568582198
image-process,16,2048,384K,8,0.09263277053833,57.7890625,2.8217315673828125,9.911842148072544
image-process,16,2048,384K,9,0.0905525684356689,57.7890625,2.8217315673828125,8.557867505504877
image-process,16,2048,384K,10,0.0926084518432617,57.7890625,2.8217315673828125,9.15652164247031
image-process,32,2048,2.4M,1,0.7196817398071289,128.3828125,6.2686920166015625,795.0770221258135
image-process,32,2048,2.4M,2,0.6750161647796631,128.3828125,6.2686920166015625,48.11670445591066
image-process,32,2048,2.4M,3,0.6690163612365723,128.3828125,6.2686920166015625,54.38609859533865
image-process,32,2048,2.4M,4,0.6833298206329346,128.3828125,6.2686920166015625,58.277208494528246
image-process,32,2048,2.4M,5,0.7318642139434814,128.3828125,6.2686920166015625,67.9470683857088
image-process,32,2048,2.4M,6,0.6903002262115479,128.3828125,6.2686920166015625,70.2699918682002
image-process,32,2048,2.4M,7,0.7015485763549805,128.3828125,6.2686920166015625,70.30304333639987
image-process,32,2048,2.4M,8,0.7017192840576172,128.3828125,6.2686920166015625,73.34629245235071
image-process,32,2048,2.4M,9,0.7050304412841797,128.3828125,6.2686920166015625,71.65059111734455
image-process,32,2048,2.4M,10,0.7060637474060059,128.3828125,6.2686920166015625,71.62696856216216
image-process,80,2048,756K,1,0.5963268280029297,111.41015625,5.439949035644531,1048.4469238884983
image-process,80,2048,756K,2,0.5550408363342285,111.41015625,5.439949035644531,29.791068205007456
image-process,80,2048,756K,3,0.5695836544036865,111.41015625,5.439949035644531,34.84077841579485
image-process,80,2048,756K,4,0.552710771560669,111.41015625,5.439949035644531,36.07490031504789
image-process,80,2048,756K,5,0.5987911224365234,111.41015625,5.439949035644531,37.75064877076412
image-process,80,2048,756K,6,0.5718960762023926,111.41015625,5.439949035644531,43.89109428118058
image-process,80,2048,756K,7,0.574944019317627,111.41015625,5.439949035644531,38.22318498414711
image-process,80,2048,756K,8,0.5693411827087402,111.41015625,5.439949035644531,40.03413489310975
image-process,80,2048,756K,9,0.5903875827789307,111.41015625,5.439949035644531,40.51624131209888
image-process,80,2048,756K,10,0.5685980319976807,111.41015625,5.439949035644531,42.06834511302133
image-process,48,2048,3.4M,1,1.701876878738403,235.01953125,11.475563049316406,538.0852844808912
image-process,48,2048,3.4M,2,1.6055335998535156,235.01953125,11.475563049316406,100.37518736265407
image-process,48,2048,3.4M,3,1.6374857425689695,235.01953125,11.475563049316406,101.66408447919926
image-process,48,2048,3.4M,4,1.7641146183013916,235.01953125,11.475563049316406,101.79065920449229
image-process,48,2048,3.4M,5,1.6827611923217771,235.01953125,11.475563049316406,102.21580664830118
image-process,48,2048,3.4M,6,1.7223308086395264,235.01953125,11.475563049316406,101.83053006158218
image-process,48,2048,3.4M,7,1.6820497512817385,235.29296875,11.488914489746094,102.1546108411215
image-process,48,2048,3.4M,8,1.7066946029663086,235.29296875,11.488914489746094,101.4897779992215
image-process,48,2048,3.4M,9,1.7434539794921875,235.41796875,11.495018005371094,101.7429146586808
image-process,48,2048,3.4M,10,1.684798002243042,235.515625,11.499786376953123,102.056460782192
image-process,32,2048,1.2M,1,0.4072813987731933,93.58203125,4.569435119628906,31.87747856966708
image-process,32,2048,1.2M,2,0.4166615009307861,93.58203125,4.569435119628906,24.7864585619298
image-process,32,2048,1.2M,3,0.4009597301483154,93.58203125,4.569435119628906,38.44137269731136
image-process,32,2048,1.2M,4,0.3899633884429931,93.58203125,4.569435119628906,39.78890497926586
image-process,32,2048,1.2M,5,0.4100267887115478,93.58203125,4.569435119628906,42.43920500985882
image-process,32,2048,1.2M,6,0.4089715480804443,93.58203125,4.569435119628906,27.034464998424205
image-process,32,2048,1.2M,7,0.4079146385192871,93.58203125,4.569435119628906,41.96561112859257
image-process,32,2048,1.2M,8,0.4140782356262207,93.58203125,4.569435119628906,42.25030275478691
image-process,32,2048,1.2M,9,0.413870096206665,93.58203125,4.569435119628906,38.43871491430352
image-process,32,2048,1.2M,10,0.4116978645324707,93.58203125,4.569435119628906,32.30508109936575
image-process,32,2048,80K,1,0.0507895946502685,55.05859375,2.6884078979492188,11.375020522594529
image-process,32,2048,80K,2,0.0489377975463867,55.05859375,2.6884078979492188,6.099248467471757
image-process,32,2048,80K,3,0.0478265285491943,55.05859375,2.6884078979492188,5.981829302006255
image-process,32,2048,80K,4,0.0522949695587158,55.05859375,2.6884078979492188,6.426604027096474
image-process,32,2048,80K,5,0.0522332191467285,55.05859375,2.6884078979492188,4.54596581755862
image-process,32,2048,80K,6,0.0499794483184814,55.05859375,2.6884078979492188,6.508771099707903
image-process,32,2048,80K,7,0.0525622367858886,55.05859375,2.6884078979492188,6.225886587565259
image-process,32,2048,80K,8,0.051478624343872,55.05859375,2.6884078979492188,6.023982992763209
image-process,32,2048,80K,9,0.0508773326873779,55.05859375,2.6884078979492188,5.86352183201414
image-process,32,2048,80K,10,0.0515499114990234,55.05859375,2.6884078979492188,6.155350567847749
